9/10/2020 data collected by Mark Richards and Steve Kolthammer,,,,,,,,,,,
Source,None,Na-22,Mn-54,Cs-137,Am-241,Cs-137,Cs-137,Cs-137,Cs-137,Cs-137,Cs-137
Experiment type,Calibration,Calibration,Calibration,Calibration,Calibration,Scattering,Background,Scattering,Background,Scattering,Background
Angle (deg),N/A,N/A,N/A,N/A,N/A,20,20,30,30,45,45
Time (s),100,100,100,100,40,100,100,100,100,300,300
,,,,,,,,,,,
Bin,,,,Count,Count,Count,Count,Count,Count,Count,Count
398,0,0,0,0,0,0,0,0,2,2,3
399,0,1,1,0,0,1,2,0,1,2,1
400,1,2,0,0,0,0,0,1,0,1,3
401,0,0,2,0,0,0,1,0,1,3,0
402,0,1,0,1,1,3,1,2,1,2,3
403,0,1,0,1,0,1,1,1,0,1,4
404,1,1,0,0,1,0,0,0,0,3,0
405,0,1,0,0,1,2,0,1,2,2,0
406,3,2,0,2,0,1,0,0,0,4,3
407,0,0,1,0,0,1,0,1,1,2,1
408,1,1,0,0,0,2,1,3,0,4,0
409,1,1,0,0,0,1,1,1,1,3,1
410,2,0,0,0,0,0,0,1,0,0,3
411,1,1,0,2,1,1,1,0,1,3,2
412,1,1,0,2,0,0,1,0,1,3,2
413,0,1,1,0,1,0,3,0,1,1,1
414,0,0,0,1,0,1,2,0,1,0,3
415,0,1,0,0,1,0,0,1,1,1,1
416,1,1,0,0,1,1,0,0,0,0,3
417,0,0,0,0,1,1,0,1,1,1,3
418,0,0,0,0,0,0,0,0,0,2,0
419,0,0,0,1,0,0,1,0,0,1,1
420,2,0,0,0,0,0,0,1,0,3,4
421,0,0,2,1,0,0,0,0,0,1,0
422,0,0,0,1,0,0,3,0,0,0,0
423,0,1,0,0,0,1,0,0,0,1,0
424,0,0,0,1,0,1,1,1,0,2,2
425,0,0,0,0,1,1,0,1,0,0,2
426,0,0,0,0,0,1,0,0,0,0,0
427,0,0,0,0,0,0,0,0,0,0,2
428,0,0,0,0,1,0,0,0,0,2,0
429,0,1,0,0,0,2,0,0,1,2,0
430,1,0,0,0,0,0,0,0,1,3,2
431,1,0,0,1,0,2,0,1,0,1,1
432,1,0,0,0,0,0,0,0,0,1,0
433,0,0,1,0,0,1,0,2,0,2,0
434,2,2,1,0,0,0,0,0,0,0,0
435,0,1,0,0,0,0,0,0,0,1,0
436,0,0,0,0,0,0,0,0,0,1,1
437,0,0,0,0,0,0,0,0,0,0,1
438,1,0,0,0,1,0,0,0,0,1,0
439,0,0,1,0,0,0,0,0,0,0,0
440,0,0,1,0,0,0,0,0,0,1,1
441,0,0,1,0,0,0,0,0,0,0,0
442,0,0,0,0,1,0,0,0,0,1,2
443,0,1,0,0,0,0,0,0,0,0,1
444,0,0,0,0,0,0,0,0,1,2,1
445,0,0,0,0,0,0,0,0,0,1,0
446,0,0,0,0,0,0,0,1,0,2,1
447,0,0,0,0,0,0,0,0,1,0,0
448,0,0,0,0,0,1,0,0,0,1,1
449,0,0,0,0,0,0,0,0,0,1,1
450,0,0,0,0,0,0,0,0,1,0,1
451,0,0,0,0,0,0,0,0,0,1,0
452,0,0,0,0,0,0,1,0,1,0,1
453,0,0,0,0,0,0,0,0,0,0,0
454,0,0,0,0,0,0,1,2,1,1,0
455,0,0,0,0,0,0,2,0,0,3,1
456,0,0,0,0,0,0,0,0,0,2,0
457,1,0,0,0,0,0,0,0,0,0,0
458,0,0,0,0,0,0,2,0,1,2,1
459,0,1,0,0,0,1,0,0,1,0,0
460,0,0,0,0,0,0,0,0,0,1,3
461,0,0,2,0,0,0,0,0,0,0,0
462,0,0,0,0,0,0,0,0,0,1,0
463,0,0,0,0,1,0,0,0,0,0,1
464,0,0,0,0,0,0,1,0,0,1,2
465,0,1,0,0,0,0,0,0,0,1,0
466,0,1,0,0,0,1,0,0,0,2,0
467,0,1,0,1,0,0,0,0,0,0,0
468,0,0,0,0,0,0,0,0,0,0,0
469,0,0,0,0,0,1,0,0,0,0,3
470,0,0,1,0,1,1,0,0,0,0,0
471,0,0,0,0,0,0,1,0,0,0,1
472,0,0,0,0,0,1,0,0,0,0,0
473,0,0,0,0,0,0,0,0,0,0,1
474,0,1,0,0,0,0,0,0,0,0,1
475,0,0,0,1,0,0,0,0,0,0,1
476,2,0,0,0,0,0,0,0,0,2,0
477,0,0,0,0,0,0,0,0,0,0,1
478,0,0,0,0,1,0,0,0,0,0,0
479,0,0,0,0,0,0,0,1,0,0,0
480,0,1,0,0,0,0,1,0,0,1,0
481,0,0,0,0,0,0,1,0,0,0,2
482,0,0,0,0,0,0,0,0,0,1,0
483,0,0,0,0,0,0,0,0,0,1,0
484,1,1,0,0,1,0,1,0,0,0,1
485,0,0,0,0,0,0,1,0,0,0,0
486,0,1,1,0,0,0,0,0,0,0,0
487,0,1,0,0,0,0,0,0,0,0,1
488,1,0,0,0,0,0,0,0,0,0,0
489,0,0,0,0,0,1,1,0,0,0,0
490,0,0,2,0,0,0,0,1,0,2,1
491,1,0,1,0,1,1,1,0,0,0,0
492,0,0,0,0,0,0,0,0,0,0,1
493,0,0,0,0,0,0,0,0,0,1,0
494,0,0,0,0,0,0,0,0,0,1,0
495,0,0,0,1,0,0,1,0,0,0,1
496,0,0,0,1,0,0,1,0,0,1,1
497,0,0,0,1,1,1,0,0,0,0,0
498,0,1,0,0,0,0,0,0,0,1,0
499,1,0,0,0,1,0,0,0,0,1,0
500,0,0,0,0,0,0,1,1,0,0,0
501,1,0,0,0,0,0,0,0,0,0,0
502,0,0,0,0,0,0,0,0,0,0,0
503,0,0,1,0,0,0,0,1,0,0,0
504,0,0,0,1,0,0,0,0,0,0,0
505,0,0,0,0,0,0,0,0,0,1,0
506,0,0,0,0,0,0,0,0,1,0,0
507,0,0,0,0,0,0,1,0,0,1,1
508,0,0,1,0,0,0,0,0,0,0,1
509,0,0,0,0,0,0,1,0,0,1,0
510,0,0,0,0,0,0,0,0,1,0,1
511,6,7,5,6,0,6,5,3,4,5,15
